month,date,content
1,01.01 (토),신정
1,01.03 (월),시무식
1,01.06 (목),성적이수표 발송
1,01.10 (월) ~ 01.12 (수),학점•학기포기 신청
1,01.17 (월) ~ 01.19 (수),복학원서 접수
1,01.19 (수) ~ 01.21 (금),[2022학년도 1학기] 재입학 원서 접수
1,01.19 (수) ~ 01.21 (금),재학생 전과 신청
1,01.31 (월),설날
2,02.01 (화),설날
2,02.02 (수),설날
2,02.04 (금),[교무위원회] 졸업·진급·입학 사정회 11:00
2,02.07 (월) ~ 02.09 (수),휴학원서 접수
2,02.08 (화),정시모집 합격자 발표
2,02.09 (수),재입학 등록
2,02.09 (수) ~ 02.11 (금),정시 신입생 등록
2,02.14 (월) ~ 02.15 (화),[2•3학년] 1학기 수강 신청
2,02.14 (월) ~ 02.16 (수),정원외 모집 원서 추가접수
2,02.15 (화) ~ 02.16 (수),재학생•복학생 등록
2,02.17 (목) ~ 02.18 (금),등록금 분할납부(1회차)
2,02.17 (목) ~ 02.18 (금),[1학년•전공심화] 1학기 수강 신청
2,02.18 (금),제53회 학위수여식 11:00
2,02.21 (월),[교무위원회] 입학 사정회 11:00
2,02.25 (금),신입생 입학식 O.T
3,03.01 (화),삼일절
3,03.02 (수),[2022학년도 1학기] 개강
3,03.07 (월) ~ 03.08 (화),수강신청 정정
3,03.09 (수),대통령 선거 ⇒ 보강일 : 6. 8(수)
3,03.10 (목) ~ 03.11 (금),등록금 분할납부(2회차)
3,03.11 (금),졸업보류 등록
3,03.14 (월) ~ 03.15 (화),조기졸업 신청
3,03.18 (금),복학 만료일
3,03.31 (목),학기개시 30일 경과
3,03.31 (목) ~ 04.06 (수),1차 강의평가
4,04.05 (화) ~ 04.06 (수),등록금 분할납부(3회차)
4,04.21 (목) ~ 04.27 (수),중간고사
4,04.30 (토),학기개시 60일 경과
5,05.01 (일),근로자의 날
5,05.03 (화) ~ 05.04 (수),등록금 분할납부(4회차)
5,05.05 (목),어린이날 ⇒ 보강일 : 6. 9(목)
5,05.08 (일),부처님 오신날
5,05.11 (수) ~ 05.13 (금),3년제 학과 수업연한 연장 신청
5,05.19 (목),노들체전
5,05.20 (금),개교기념일 ⇒ 보강일 : 6. 10(금)
5,05.24 (화),"1학기 수업일수 3/4 경과, 일반휴학 종료"
5,05.30 (월),학기개시 90일 경과
6,06.01 (수),지방선거 ⇒ 보강일 : 6. 14(화)
6,06.06 (월),현충일 ⇒ 보강일 : 6. 13(월)
6,06.08 (수),보강일 : 대통령선거[3. 9(수)] 보강일
6,06.09 (목),보강일 : 어린이날[5. 5(목)] 보강일
6,06.10 (금),보강일 : 개교기념일[5. 20(금)] 보강일
6,06.13 (월),보강일 : 현충일[6. 6(월)] 보강일
6,06.14 (화),보강일 : 지방선거[6. 1(수)] 보강일
6,06.15 (수) ~ 06.21 (화),기말고사
6,06.22 (수),하계방학 및 현장실습[6. 22(수) ~ 8. 31(수)]
6,06.22 (수) ~ 07.01 (금),"강의평가[6. 22(수) ~ 7. 1(금), 17:00]"
6,06.22 (수) ~ 06.28 (화),"성적입력[6. 22(수) ~ 6. 28(화), 24:00까지]"
6,06.29 (수) ~ 07.01 (금),"성적열람 및 이의 신청[6. 29(수) ~ 7. 1(금), 17:00]"
7,07.01 (금),[2022학년도 1학기] 성적 확정 18:00
7,07.04 (월) ~ 07.05 (화),[교내 교과목] 계절학기 수강 신청
7,07.06 (수) ~ 07.07 (목),[교내 교과목] 계절학기 등록
7,07.11 (월) ~ 07.13 (수),학점•학기포기 신청
7,07.11 (월) ~ 07.22 (금),[교내 교과목] 계절학기 설강
7,07.14 (목),성적이수표 발송
7,07.18 (월) ~ 07.20 (수),복학원서 접수
7,07.25 (월) ~ 07.27 (수),[2022학년도 2학기] 재입학 원서 접수
7,07.25 (월) ~ 07.27 (수),재학생 전과 신청
7,07.27 (수),[교내 교과목] 계절학기 성적 확정 15:00
8,08.01 (월) ~ 08.03 (수),휴학원서 접수
8,08.05 (금),[교무위원회] 후기 졸업사정회
8,08.10 (수),재입학 등록
8,08.15 (월),광복절
8,08.16 (화) ~ 08.17 (수),[2•3학년] 2학기 수강 신청
8,08.16 (화) ~ 08.17 (수),재학생•복학생 등록
8,08.18 (목) ~ 08.19 (금),[1학년•전공심화] 2학기 수강 신청
8,08.18 (목) ~ 08.19 (금),등록금 분할납부(1회차)
8,08.19 (금),후기 학위수여식
9,09.01 (목),[2022학년도 2학기] 개강
9,09.06 (화) ~ 09.07 (수),수강신청 정정
9,09.09 (금),추석연휴 ⇒ 보강일 : 12. 9(금)
9,09.10 (토),추석
9,09.12 (월),추석 대체휴무 ⇒ 보강일 : 10. 4(화)
9,09.13 (화) ~ 09.14 (수),등록금 분할납부(2회차)
9,09.13 (화),수시 1차 모집 원서 접수[9. 13(화) ~ 10. 6(목)]
9,09.13 (화),졸업보류 등록
9,09.16 (금),복학 만료일
9,09.22 (목) ~ 09.23 (금),노들축제
9,09.29 (목) ~ 10.05 (수),1차 강의평가
9,09.30 (금),학기개시 30일 경과
10,10.03 (월),개천절 ⇒ 보강일 : 10. 13(목)
10,10.04 (화),보강일 : 추석 대체휴무[9. 12(월)] 보강일
10,10.04 (화) ~ 10.07 (금),2022 동양미래EXPO(제40회 학생졸업작품 전시회)
10,10.05 (수) ~ 10.06 (목),등록금 분할납부(3회차)
10,10.09 (일),한글날
10,10.10 (월),한글날 대체휴무 ⇒ 보강일 : 12. 12(월)
10,10.13 (목),보강일 : 개천절[10. 3(월)] 보강일
10,10.26 (수) ~ 11.01 (화),중간고사
10,10.30 (일),학기개시 60일 경과
10,10.31 (월),[교무위원회] 입학 사정회 11:00
11,11.01 (화),수시 1차 모집 합격자 발표
11,11.01 (화) ~ 11.02 (수),등록금 분할납부(4회차)
11,11.07 (월) ~ 11.21 (월),수시 2차 모집 원서 접수[11. 7(월) ~ 11. 21(월)]
11,11.24 (목),"2학기 수업일수 3/4 경과, 일반휴학 종료"
11,11.29 (화),학기개시 90일 경과
12,12.08 (목),보강일 : [10. 13(목)] 보강일
12,12.09 (금),보강일 : 추석[9. 9(금)] 보강일
12,12.12 (월),[교무위원회] 입학 사정회 11:00
12,12.12 (월),보강일 : 한글날 대체휴무[10. 10(월)] 보강일
12,12.13 (화),보강일 : [10. 4(화)] 보강일
12,12.13 (화),수시 2차 모집 합격자 발표
12,12.14 (수) ~ 12.20 (화),기말고사
12,12.16 (금) ~ 12.19 (월),수시예치금 등록
12,12.21 (수) ~ 12.30 (금),"강의평가[12. 21(수) ~ 12. 30(금), 17:00]"
12,12.21 (수) ~ 12.27 (화),"성적입력[12. 21(수) ~ 12. 27(화), 24:00]"
12,12.21 (수),동계방학[12. 21(수) ~ 2. 28(화)
12,12.25 (일),성탄절
12,12.28 (수) ~ 12.30 (금),"성적열람 및 이의 신청[12. 28(수) ~ 12. 30(금), 17:00]"
12,12.29 (목) ~ 01.12 (목),정시모집 원서 접수[12. 29(목) ~ 1. 12(목)
12,12.30 (금),[2022학년도 2학기] 성적 확정 18:00
